# Drinking fountains and toilets in Berkeley, from OpenStreetMap.
# Retrieved 2026-09-13 via the Overpass API; bbox 37.84,-122.33 to 37.91,-122.23,
# then clipped to points within 120 m of the city's zoning layer.
# Source: OpenStreetMap contributors, ODbL 1.0 (https://www.openstreetmap.org/copyright)
# Regenerate with tools/fetch_amenities.py
id|lat|lon|kind|name|operator|access|fee|opening_hours|wheelchair|indoor|bottle|changing_table|disposal|check_date|desc
n7847068671|37.884568|-122.262617|T||||no||yes||||||
n7932870026|37.860671|-122.299422|W||||||||||||
n8010012922|37.857238|-122.24525|W||||||||||||
n8072326989|37.85429|-122.257331|W||||||||||||
n9041110272|37.885544|-122.263278|W||||||||||||
n9064988442|37.857907|-122.263678|W||||||||||||
n9121349347|37.857521|-122.245422|W||||||||yes||||
n9406372653|37.882886|-122.279401|W|||||24/7|||||||
n9459929058|37.890279|-122.256038|W||||||||||||
n9595807814|37.864812|-122.30559|W|Drinking Fountain|||||||||||
n9830465804|37.85793|-122.262807|W||||||||no||||
n9831610492|37.858203|-122.278538|W||||||||||||
n9866858601|37.86513|-122.247561|W|||yes|no||||no||||
n10057311384|37.856075|-122.283596|T||||||yes||||||
n10057327053|37.854582|-122.283436|W||||||||||||
n11084307626|37.859988|-122.257655|W||||||||||||
n11084307646|37.860661|-122.258453|W||||||||||||
n11983832993|37.882454|-122.278543|T||||||||||||
n12111342012|37.878565|-122.24652|T||||||||||||
n12161135863|37.876812|-122.308985|T||City of Berkeley|yes|no||limited||||pitlatrine||
n12166876755|37.869705|-122.25515|T||||no||||||flush||
n12166876759|37.869713|-122.25509|W|||permissive|no|||yes|yes||||
n12167164005|37.87079|-122.251769|T|||permissive|no||||||flush||
n12167164006|37.870808|-122.251776|W||||no|||yes|yes||||
n12277590621|37.869876|-122.253686|T|||permissive|no||yes|||yes|flush|2024-10-21|
n12717366147|37.869086|-122.259504|T||||||||||flush||
n12720796005|37.870754|-122.269855|T|||yes||||yes|||flush|2025-04-01|
n12773351532|37.871523|-122.253732|T||||no||yes|||no|flush||
n12773351534|37.871522|-122.253681|W||||no|||yes|yes||||
n12773351536|37.871525|-122.253633|T||||no||yes|||no|flush||
n12773351539|37.871544|-122.253684|W|||permissive|no|||yes|||||
n12773351540|37.871705|-122.254314|W||||no|||yes|yes||||
n12773351555|37.87155|-122.253642|T||||no||||||flush||
n12773351557|37.87165|-122.254268|T||||no||yes|||no|flush||
n12773351565|37.871693|-122.254268|T||||no||yes||||flush||
n12845316260|37.86695|-122.258983|T|||yes|||yes||||flush||
n12900569256|37.868129|-122.268584|T|||yes|no||yes||||flush||
n12900569260|37.868024|-122.268937|W|||yes|no|||yes|||||
n12900569262|37.868121|-122.268563|T|||yes|no||||||flush||
n12900569263|37.86811|-122.268768|T|||yes|no||||||flush||
n12965306852|37.873857|-122.261139|W|||permissive|no|||yes|yes||||
n12965306857|37.873816|-122.261042|T|||permissive|yes||yes|||no|flush||
n12990278101|37.892637|-122.263609|W||||||||||||
n13007788701|37.869227|-122.257891|W||||||||||||
n13095348812|37.894691|-122.272939|T|||yes||||||no|pitlatrine|2025-08-24|
n13606874001|37.894133|-122.267022|W|Water fountain at Cragmont School||||||||||2026-02-27|
n14003323877|37.859554|-122.269237|T|||permissive|||yes||||||
n14003323878|37.859669|-122.269253|T|||permissive|||yes||||||
n14072062705|37.866577|-122.270585|W||||||||||||
n14072062706|37.866501|-122.272252|W||||||||||||
n14072062707|37.865791|-122.272165|W||||||||||||
n14072062708|37.865895|-122.271164|W||||||||||||
n14072062809|37.868717|-122.27185|T||||||||||||
n14072062810|37.868412|-122.272333|T||||||||||||
n14072062811|37.867802|-122.271649|T||||||||||||
n14072062812|37.867832|-122.271219|T||||||||||||
n14072062813|37.866877|-122.270528|T||||||||||||
n14072062814|37.86706|-122.271159|T||||||||||||
n14072062815|37.867074|-122.270898|T||||||||||||
n14072062816|37.867062|-122.270929|W||||||||||||
n14072062817|37.866881|-122.270486|W||||||||||||
n14072062818|37.867577|-122.272256|T||||||||||||
n14072062819|37.868583|-122.271233|T||||||||||||
n14072062820|37.868695|-122.270795|T||||||||||||
n14072062821|37.868638|-122.270756|W||||||||||||
n14072062822|37.867756|-122.27065|W||||||||||||
n14072062823|37.867724|-122.270645|T||||||||||||
w43075596|37.856513|-122.271926|T||||||||||||
w282349723|37.863158|-122.315442|T||City of Berkeley|permissive|no|Mo-Su 10:00-17:00|yes||||flush||Exact open time unknown; closes at 5pm
w400908963|37.876169|-122.287959|T||||no||||||flush||
w772824546|37.873985|-122.283581|T|||yes|||yes|room|||||Inside paid area
w774522204|37.873945|-122.28358|T|||yes|||yes|room|||||Inside paid area
w930043357|37.869017|-122.317053|T|||customers|||||||flush||
w1363945244|37.864235|-122.315303|T|||private|||||||flush||
w1457062388|37.864611|-122.305655|T||||||||||||
w1547127357|37.868253|-122.271999|T|P Building||private|||yes|||no|flush||
n9831610493|37.858184|-122.278534|T|||school|||yes||||flush||
n9831610494|37.858221|-122.278542|T|||school|||yes||||flush||
